Support Height AngDir[0] AngDir[1] AngDir[2] YDir[0] YDir[1] YDir[2] Identifier axisDir[0] axisDir[1] axisDir[2] axisPos[0], axisPos[1] axisPos[2] radius angularRotatedRadians
231147 1.21908 -0.505448 -0.862857 0 0.840284 -0.492225 0.227237 2 -0.196073 0.114856 0.97384 0.0218138 0.0499528 -0.00149953 0.188517 0 
7358 1.35838 0.654816 0.755788 -0 0.7241 -0.627361 0.286525 2 0.216553 -0.187621 -0.958073 0.00284831 0.0968971 -0.0183319 0.178921 0 
3154 0.214414 0.840554 -0.541727 0 -0.48912 -0.758928 0.429873 2 -0.232874 -0.361331 -0.90289 0.102326 0.103875 -0.0679621 0.21274 0 
3588 0.411234 0.201505 0.979487 -0 0.843104 -0.173447 0.509011 2 0.49857 -0.102568 -0.86076 0.0183201 0.0780839 0.00130689 0.233073 0 
1280 0.602743 -0.747975 -0.663727 0 0.56951 -0.641798 0.513569 2 -0.34087 0.384137 0.858048 -0.134719 0.262894 -0.171213 0.209051 0 
1242 0.427549 0.702611 -0.711574 0 -0.548059 -0.541156 0.637795 2 -0.453838 -0.448122 -0.770207 1.17254 0.694601 -1.09504 0.603494 0 
1364 0.177494 0.537485 0.843274 -0 0.126689 -0.0807491 0.98865 2 0.833703 -0.531384 -0.150235 -0.00206196 0.00633916 -0.0338642 0.18214 0 
1207 0.0417555 -0.0406663 0.999173 0 -0.729421 -0.0296874 0.68342 2 0.682855 0.0277922 0.730025 0.183466 0.0278157 -0.17267 0.132829 0 
