Support Height AngDir[0] AngDir[1] AngDir[2] YDir[0] YDir[1] YDir[2] Identifier axisDir[0] axisDir[1] axisDir[2] axisPos[0], axisPos[1] axisPos[2] radius angularRotatedRadians
42499 1.90988 -0.904578 -0.426308 0 0.39796 -0.844427 0.358568 2 -0.152861 0.324353 0.933504 -0.0342861 0.0379866 -0.0188131 0.173843 0 
8120 0.250852 -0.915971 -0.401246 0 0.1707 -0.389678 0.904993 2 -0.363124 0.828947 0.425426 -0.419903 -0.270538 0.168736 0.758292 0 
3860 2.27255 0.999119 -0.0419651 0 -0.0361458 -0.860571 0.508047 2 -0.0213202 -0.507599 -0.861329 0.0221327 0.151187 -0.0896456 0.147444 0 
2344 0.270279 0.996743 -0.0806446 0 -0.0015302 -0.0189128 0.99982 2 -0.0806301 -0.996563 -0.0189746 -0.0538261 0.00886855 -0.237057 0.235165 0 
3554 1.82739 0.971068 -0.238802 0 -0.223232 -0.907752 0.35518 2 -0.0848178 -0.344904 -0.934798 0.026973 0.0409452 -0.0175546 0.173852 0 
1665 0.21947 -0.999204 0.0399004 0 0.000298436 0.00747357 0.999972 2 0.0398992 0.999176 -0.00747952 0.178656 -0.00936456 -0.297959 0.125954 0 
2081 0.26098 0.998969 -0.0454079 0 -0.0072785 -0.160126 0.98707 2 -0.0448207 -0.986052 -0.160292 0.0518484 0.0186588 -0.12928 0.144484 0 
698 0.290474 -0.814566 -0.580071 0 0.413258 -0.580319 0.701747 2 -0.407063 0.571619 0.712427 -0.363427 0.059746 -0.255591 0.32086 0 
772 0.33632 0.80555 -0.592528 0 -0.245585 -0.333876 0.910063 2 -0.539238 -0.733101 -0.414469 0.256835 -0.0220165 -0.295209 0.0777225 0 
